iter	Passed	Remaining
469	716	807
470	717	805
471	718	803
472	719	801
473	720	799
474	721	797
475	722	794
476	723	792
477	724	790
478	725	788
479	726	786
480	729	787
481	731	785
482	734	786
483	735	784
484	736	782
485	738	780
486	739	778
487	740	776
488	741	774
489	743	773
490	744	771
491	745	769
492	746	767
493	747	765
494	748	763
495	749	761
496	750	759
497	751	757
498	752	755
499	753	753
500	754	751
501	755	749
502	756	747
503	757	745
504	758	743
505	759	741
506	760	739
507	762	738
508	763	736
509	764	734
510	765	732
511	766	730
512	767	728
513	768	726
514	769	724
515	771	723
516	772	721
517	773	719
518	774	717
519	775	715
520	776	713
521	777	711
522	778	709
523	779	707
524	780	706
525	781	704
526	782	702
527	783	700
528	784	698
529	786	697
530	787	695
531	788	693
532	789	692
533	790	690
534	792	688
535	793	686
536	794	684
537	795	682
538	796	680
539	797	678
540	798	677
541	799	675
542	801	674
543	802	672
544	804	671
545	805	669
546	806	667
547	807	666
548	808	664
549	809	662
550	810	660
551	811	658
552	812	657
553	813	655
554	816	654
555	817	652
556	818	650
557	819	649
558	820	647
559	821	645
560	822	643
561	823	641
562	824	639
563	825	638
564	826	636
565	827	634
566	828	632
567	829	630
568	831	629
569	832	628
570	833	626
571	834	624
572	835	622
573	836	620
574	837	618
575	838	617
576	840	615
577	841	614
578	842	612
579	843	611
580	845	609
581	847	608
582	848	606
583	850	605
584	851	604
585	853	603
586	855	601
587	856	599
588	857	598
589	857	596
590	858	594
591	860	592
592	863	592
593	864	590
594	865	589
595	866	587
596	868	586
597	869	584
598	870	583
599	871	581
600	873	579
601	876	579
602	878	578
603	879	576
604	880	574
605	881	573
606	884	572
607	885	570
608	886	569
609	887	567
610	891	567
611	894	567
612	896	566
613	898	564
614	900	563
615	901	561
616	902	559
617	903	558
618	909	559
619	910	558
620	911	556
621	912	554
622	915	553
623	917	552
624	922	553
625	924	552
626	926	550
627	927	549
628	928	547
629	929	545
630	930	544
631	932	543
632	933	541
633	943	544
634	946	543
635	948	542
636	954	543
637	958	543
638	959	542
639	960	540
640	962	538
641	967	539
642	968	537
643	970	536
644	971	534
645	973	533
646	975	532
647	977	530
648	980	530
649	982	529
650	983	527
651	985	525
652	986	524
653	988	522
654	990	521
655	993	521
656	995	519
657	997	518
658	1000	517
659	1001	515
660	1002	514
661	1005	513
662	1009	512
663	1013	512
664	1014	511
665	1016	509
666	1018	508
667	1019	506
668	1022	505
669	1031	508
670	1034	507
671	1035	505
672	1038	504
673	1044	505
674	1045	503
675	1047	501
676	1048	500
677	1050	498
678	1051	497
679	1053	495
680	1056	494
681	1058	493
682	1061	492
683	1063	491
684	1065	489
685	1066	488
686	1068	486
687	1072	486
688	1074	485
689	1076	483
690	1077	482
691	1079	480
692	1080	478
693	1082	477
694	1084	475
695	1088	475
696	1091	474
697	1093	473
698	1096	472
699	1098	470
700	1099	469
701	1103	468
702	1105	467
703	1107	465
704	1109	464
705	1110	462
706	1112	461
707	1114	459
708	1115	458
709	1118	456
710	1120	455
711	1121	453
712	1122	451
713	1124	450
714	1125	448
715	1127	447
716	1128	445
717	1130	443
718	1133	443
719	1135	441
720	1136	439
721	1137	438
722	1138	436
723	1139	434
724	1142	433
725	1143	431
726	1144	429
727	1148	428
728	1150	427
729	1151	425
730	1152	424
731	1153	422
732	1154	420
733	1158	419
734	1159	418
735	1165	418
736	1166	416
737	1168	414
738	1169	412
739	1170	411
740	1172	409
741	1173	408
742	1174	406
743	1176	404
744	1180	404
745	1181	402
746	1185	401
747	1188	400
748	1189	398
749	1192	397
750	1195	396
751	1196	394
752	1197	392
753	1198	391
754	1201	389
755	1202	388
756	1203	386
757	1204	384
758	1208	383
759	1210	382
760	1212	380
761	1213	378
762	1214	377
763	1216	375
764	1218	374
765	1219	372
766	1220	370
767	1223	369
768	1225	368
769	1226	366
770	1227	364
771	1229	363
772	1230	361
773	1232	359
774	1233	358
775	1234	356
776	1235	354
777	1238	353
778	1240	351
779	1242	350
780	1243	348
781	1245	347
782	1246	345
783	1248	343
784	1249	342
785	1250	340
786	1251	338
787	1254	337
788	1256	336
789	1258	334
790	1259	332
791	1261	331
792	1262	329
793	1263	327
794	1264	326
795	1265	324
796	1269	323
797	1270	321
798	1271	319
799	1273	318
800	1274	316
801	1275	314
802	1276	313
803	1277	311
804	1278	309
805	1279	307
806	1280	306
807	1282	304
808	1284	303
809	1285	301
810	1286	299
811	1287	298
812	1288	296
813	1289	294
814	1290	292
815	1291	291
816	1292	289
817	1293	287
818	1294	286
819	1295	284
820	1298	283
821	1299	281
822	1300	279
823	1301	277
824	1302	276
825	1303	274
